Pipeline	Screen	TP	FN	FN+FP	affected
val_AA10.6.NonSyn.02_batch1	3MCC	8	7	0	15
val_AA10.6.NonSyn.02_batch1	BKT	1	0	0	1
val_AA10.6.NonSyn.02_batch1	CIT	3	3	1	7
val_AA10.6.NonSyn.02_batch1	CTD	4	4	1	9
val_AA10.6.NonSyn.02_batch1	GA-I	1	0	0	1
val_AA10.6.NonSyn.02_batch1	GA2	3	1	0	4
val_AA10.6.NonSyn.02_batch1	HCY	0	1	0	1
val_AA10.6.NonSyn.02_batch1	IVA	1	1	1	3
val_AA10.6.NonSyn.02_batch1	MCAD	14	3	0	17
val_AA10.6.NonSyn.02_batch1	MCD	0	1	0	1
val_AA10.6.NonSyn.02_batch1	MSUD	1	1	1	3
val_AA10.6.NonSyn.02_batch1	OTC	3	2	0	5
val_AA10.6.NonSyn.02_batch1	PA/MMA	4	5	0	9
val_AA10.6.NonSyn.02_batch1	PKU	22	16	1	39
val_AA10.6.NonSyn.02_batch1	SCAD	8	9	0	17
val_AA10.6.NonSyn.02_batch1	TFP	0	1	0	1
val_AA10.6.NonSyn.02_batch1	VLCAD	2	3	0	5
val_AA10.5_filter1	3MCC	3	12	0	15
val_AA10.5_filter1	BKT	0	1	0	1
val_AA10.5_filter1	CIT	3	3	0	6
val_AA10.5_filter1	CTD	7	2	0	9
val_AA10.5_filter1	GA-I	0	1	0	1
val_AA10.5_filter1	GA2	2	2	0	4
val_AA10.5_filter1	HCY	1	0	0	1
val_AA10.5_filter1	IVA	3	0	0	3
val_AA10.5_filter1	MCAD	5	12	0	17
val_AA10.5_filter1	MCD	0	1	0	1
val_AA10.5_filter1	MSUD	1	2	0	3
val_AA10.5_filter1	OTC	2	3	0	5
val_AA10.5_filter1	PA/MMA	7	2	0	9
val_AA10.5_filter1	PKU	37	2	0	39
val_AA10.5_filter1	SCAD	6	11	0	17
val_AA10.5_filter1	TFP	0	1	0	1
val_AA10.5_filter1	VLCAD	3	2	0	5
AA10.6.NonSyn.02_filter2	3MCC	18	21	2	41
AA10.6.NonSyn.02_filter2	ARG	1	1	1	3
AA10.6.NonSyn.02_filter2	BKT	1	2	0	3
AA10.6.NonSyn.02_filter2	CIT	17	10	1	28
AA10.6.NonSyn.02_filter2	CPT I	0	1	0	1
AA10.6.NonSyn.02_filter2	CPT II	1	6	1	8
AA10.6.NonSyn.02_filter2	CTD	19	18	5	42
AA10.6.NonSyn.02_filter2	GA-I	20	10	1	31
AA10.6.NonSyn.02_filter2	GA2	7	4	0	11
AA10.6.NonSyn.02_filter2	HCY	4	4	2	10
AA10.6.NonSyn.02_filter2	HYPRO	0	2	0	2
AA10.6.NonSyn.02_filter2	IVA	17	14	3	34
AA10.6.NonSyn.02_filter2	LCHAD	2	6	1	9
AA10.6.NonSyn.02_filter2	MAL	1	5	0	6
AA10.6.NonSyn.02_filter2	MCAD	117	34	4	155
AA10.6.NonSyn.02_filter2	MCD	1	3	0	4
AA10.6.NonSyn.02_filter2	MSUD	13	10	2	25
AA10.6.NonSyn.02_filter2	OTC	9	5	0	14
AA10.6.NonSyn.02_filter2	PA/MMA	22	53	4	79
AA10.6.NonSyn.02_filter2	PKU	58	55	2	115
AA10.6.NonSyn.02_filter2	RMD	1	0	0	1
AA10.6.NonSyn.02_filter2	SCAD	31	42	4	77
AA10.6.NonSyn.02_filter2	TFP	1	3	0	4
AA10.6.NonSyn.02_filter2	TYRO1	3	3	0	6
AA10.6.NonSyn.02_filter2	VLCAD	21	20	0	41
test_AA10.3_filter2	3MCC	16	9	1	26
test_AA10.3_filter2	ARG	3	0	0	3
test_AA10.3_filter2	BKT	2	0	0	2
test_AA10.3_filter2	CIT	20	2	0	22
test_AA10.3_filter2	CPT I	1	0	0	1
test_AA10.3_filter2	CPT II	5	3	0	8
test_AA10.3_filter2	CTD	24	7	2	33
test_AA10.3_filter2	GA-I	26	4	0	30
test_AA10.3_filter2	GA2	6	1	0	7
test_AA10.3_filter2	HCY	7	1	1	9
test_AA10.3_filter2	HYPRO	0	2	0	2
test_AA10.3_filter2	IVA	24	6	1	31
test_AA10.3_filter2	LCHAD	9	0	0	9
test_AA10.3_filter2	MAL	2	4	0	6
test_AA10.3_filter2	MCAD	126	12	0	138
test_AA10.3_filter2	MCD	1	2	0	3
test_AA10.3_filter2	MSUD	19	3	0	22
test_AA10.3_filter2	OTC	8	1	0	9
test_AA10.3_filter2	PA/MMA	55	14	1	70
test_AA10.3_filter2	PKU	71	5	0	76
test_AA10.3_filter2	RMD	1	0	0	1
test_AA10.3_filter2	SCAD	28	29	3	60
test_AA10.3_filter2	TFP	3	0	0	3
test_AA10.3_filter2	TYRO1	6	0	0	6
test_AA10.3_filter2	VLCAD	30	6	0	36
AA10.4	3MCC	33	11	1	45
AA10.4	ARG	4	0	0	4
AA10.4	BKT	3	0	0	3
AA10.4	CIT	28	5	0	33
AA10.4	CPT I	1	0	0	1
AA10.4	CPT II	5	3	0	8
AA10.4	CTD	35	10	2	47
AA10.4	GA-I	31	4	1	36
AA10.4	GA2	9	3	0	12
AA10.4	HCY	6	4	2	12
AA10.4	HYPRO	0	3	0	3
AA10.4	IVA	34	5	1	40
AA10.4	LCHAD	9	0	0	9
AA10.4	MAL	2	4	0	6
AA10.4	MCAD	157	15	2	174
AA10.4	MCD	2	3	0	5
AA10.4	MSUD	21	3	1	25
AA10.4	OTC	13	3	0	16
AA10.4	PA/MMA	73	16	1	90
AA10.4	PKU	121	10	0	131
AA10.4	RMD	3	0	0	3
AA10.4	SCAD	40	42	2	84
AA10.4	TFP	4	0	0	4
AA10.4	TYRO1	7	0	0	7
